Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
"Q99613;B5ME19";"Q99613;B5ME19";"24;24";"24;24";"24;24";"Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein";"EIF3C;EIF3CL";">sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1;>sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1";2;24;24;24;13;18;6;14;13;8;11;15;11;8;13;13;18;6;14;13;8;11;15;11;8;13;13;18;6;14;13;8;11;15;11;8;13;23.2;23.2;23.2;105.34;913;"913;914";1;170;0;178.1;15.6;19.2;7.8;14.7;12.9;10.8;13.6;15.7;12.6;9.4;13.3;246180000;14471000;40256000;2015900;47767000;7664500;5404000;7632700;56270000;6054400;21604000;37037000
"B9A064;P0CG04";"B9A064;P0CG04";"9;8";"3;2";"3;2";"Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions";"IGLL5;IGLC1";">sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1";2;9;3;3;6;6;6;6;5;9;6;6;4;6;6;3;3;3;3;2;3;3;3;1;3;3;3;3;3;3;2;3;3;3;1;3;3;46.7;17.3;17.3;23063;214;"214;106";1;94;0;13773;40.7;40.7;35;40.7;36;46.7;40.7;40.7;32.2;40.7;40.7;132080000;4518400;17669000;4304100;10074000;3091000;27141000;16958000;14093000;2686200;22418000;9130900
"Q13765;E9PAV3;Q9BZK3";"Q13765;E9PAV3";"6;6;1";"6;6;1";"6;6;1";"Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form";NACA;">sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1;>sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1";3;6;6;6;4;3;3;4;3;5;4;5;5;4;3;4;3;3;4;3;5;4;5;5;4;3;4;3;3;4;3;5;4;5;5;4;3;34;34;34;23384;215;"215;2078;213";1;75;0;148.97;25.6;20.5;19.5;25.6;19.5;34;25.6;32.6;32.6;25.6;19.5;204240000;26921000;22492000;503040;33253000;8770500;6571300;11260000;36191000;8540100;26128000;23616000
E9PRG8;E9PRG8;2;2;2;;LOC102288414;>sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens GN=C11orf98 PE=4 SV=1;1;2;2;2;1;1;0;1;1;0;1;2;1;1;1;1;1;0;1;1;0;1;2;1;1;1;1;1;0;1;1;0;1;2;1;1;1;17.2;17.2;17.2;13798;122;122;1;11;0;6.3701;10.7;10.7;0;10.7;10.7;0;10.7;17.2;10.7;10.7;10.7;22028000;2349000;2016600;0;3418500;684200;0;0;5261900;730400;3504100;4062800
F5H284;F5H284;3;1;1;Peptidyl-prolyl cis-trans isomerase A-like 4D;PPIAL4D;>sp|F5H284|PAL4D_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4D OS=Homo sapiens GN=PPIAL4D PE=3 SV=1;1;3;1;1;2;2;2;2;2;2;3;2;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;21.3;8.5;8.5;18167;164;164;1;1;1;-2;12.8;12.8;12.8;12.8;12.8;12.8;21.3;12.8;12.8;12.8;12.8;132480000;0;0;0;0;0;0;132480000;0;0;0;0
K7EJ46;K7EJ46;1;1;1;Small integral membrane protein 22;SMIM22;>sp|K7EJ46|SIM22_HUMAN Small integral membrane protein 22 OS=Homo sapiens GN=SMIM22 PE=2 SV=1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;12.6;12.6;12.6;14.57;135;135;1;9;0;10711;12.6;0;0;12.6;0;0;12.6;12.6;12.6;12.6;0;6406600;328760;0;0;539930;0;0;181290;256140;161780;4938700;0
O00115;O00115;4;4;4;Deoxyribonuclease-2-alpha;DNASE2;>sp|O00115|DNS2A_HUMAN Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2;1;4;4;4;0;1;0;0;2;1;0;3;1;0;1;0;1;0;0;2;1;0;3;1;0;1;0;1;0;0;2;1;0;3;1;0;1;13.1;13.1;13.1;39.58;360;360;1;9;0;16607;0;3.1;0;0;7.2;3.9;0;10;3.9;0;3.3;12101000;0;338990;0;0;326310;173740;0;10535000;190460;0;536200
O00116;O00116;18;18;18;Alkyldihydroxyacetonephosphate synthase, peroxisomal;AGPS;>sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1;1;18;18;18;7;9;3;14;7;4;5;13;10;6;6;7;9;3;14;7;4;5;13;10;6;6;7;9;3;14;7;4;5;13;10;6;6;38.6;38.6;38.6;72911;658;658;1;95;0;172.84;18.2;20.2;7.3;31.3;13.8;10.6;11.6;28.3;21.6;12.3;12.5;125590000;10269000;4413400;400820;61271000;1967500;1649900;4422200;16538000;3256700;13906000;7500500
O00139;O00139;4;4;4;Kinesin-like protein KIF2A;KIF2A;>sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A PE=1 SV=3;1;4;4;4;1;1;1;1;2;0;0;2;3;1;1;1;1;1;1;2;0;0;2;3;1;1;1;1;1;1;2;0;0;2;3;1;1;5.2;5.2;5.2;79954;706;706;1;14;0;6.5862;1.1;1.3;1.1;1.1;2.7;0;0;2.7;3.7;1.1;1.1;4447500;398030;308740;63082;529690;228170;0;0;1252200;803810;408830;454960
O00148;O00148;18;5;5;ATP-dependent RNA helicase DDX39A;DDX39A;>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2;1;18;5;5;13;13;8;14;9;10;9;12;15;10;9;3;4;1;3;2;1;1;3;4;3;1;3;4;1;3;2;1;1;3;4;3;1;47.5;16.6;16.6;49129;427;427;1;29;0;21164;36.8;33.7;18;40.5;22.5;29.5;21.8;27.6;40.7;27.2;21.5;30130000;4770000;5075700;521530;5289500;783650;176800;645080;5356600;4164600;2597500;749530
O00151;O00151;22;22;22;PDZ and LIM domain protein 1;PDLIM1;>sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4;1;22;22;22;14;18;5;18;14;19;17;15;17;8;15;14;18;5;18;14;19;17;15;17;8;15;14;18;5;18;14;19;17;15;17;8;15;86.9;86.9;86.9;36071;329;329;1;303;0;189.05;71.4;64.7;17.6;79.3;49.2;82.4;69.3;56.5;73.3;36.2;57.1;789770000;43475000;130710000;5463400;126060000;21974000;71132000;58483000;147100000;33777000;53045000;98545000
O00154;O00154;7;7;7;Cytosolic acyl coenzyme A thioester hydrolase;ACOT7;>sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3;1;7;7;7;5;7;4;6;3;5;3;4;5;3;3;5;7;4;6;3;5;3;4;5;3;3;5;7;4;6;3;5;3;4;5;3;3;25.8;25.8;25.8;41796;380;380;1;62;0;42488;19.7;25.8;14.2;22.6;10;19.7;11.3;13.4;17.4;11.3;11.3;82445000;6235700;18444000;2514700;24024000;3288900;1546700;1885000;8760500;4178900;7139100;4428100
O00159;O00159;39;39;38;Unconventional myosin-Ic;MYO1C;>sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4;1;39;39;38;16;22;12;24;14;23;29;20;21;26;12;16;22;12;24;14;23;29;20;21;26;12;16;22;12;24;14;23;28;20;21;25;12;42.9;42.9;42.2;121.68;1063;1063;1;294;0;283.52;18.3;26.2;14.9;29.9;16.7;25.1;31.7;22.8;25.7;29.4;13.9;383050000;14681000;50627000;3164500;85539000;7724300;29587000;33500000;39457000;10258000;96233000;12276000
O00160;O00160;19;14;14;Unconventional myosin-If;MYO1F;>sp|O00160|MYO1F_HUMAN Unconventional myosin-If OS=Homo sapiens GN=MYO1F PE=1 SV=3;1;19;14;14;8;8;3;4;4;10;6;9;6;5;1;6;6;2;1;3;7;5;7;3;4;0;6;6;2;1;3;7;5;7;3;4;0;22.4;16.9;16.9;124.84;1098;1098;1;50;0;105.73;9.8;8.9;3.6;4.7;3.9;12.3;7.7;9.6;8;5.8;1.5;20864000;3808900;3308000;121760;646560;481890;1566100;1507900;7247800;1163100;1011700;0
O00161;O00161;8;8;8;Synaptosomal-associated protein 23;SNAP23;>sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens GN=SNAP23 PE=1 SV=1;1;8;8;8;4;5;1;5;3;5;6;4;3;2;3;4;5;1;5;3;5;6;4;3;2;3;4;5;1;5;3;5;6;4;3;2;3;57.3;57.3;57.3;23354;211;211;1;48;0;74.7;35.1;32.2;6.6;34.6;18;35.5;42.7;25.6;24.2;11.4;18;40976000;5670700;5475500;148760;8510300;684070;3727200;2733700;4905400;445270;5665900;3008900
O00165;O00165;2;2;2;HCLS1-associated protein X-1;HAX1;>sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens GN=HAX1 PE=1 SV=2;1;2;2;2;0;1;1;0;2;1;0;1;2;1;2;0;1;1;0;2;1;0;1;2;1;2;0;1;1;0;2;1;0;1;2;1;2;6.5;6.5;6.5;31.62;279;279;1;11;0.00082305;3.6218;0;2.5;2.5;0;6.5;2.5;0;2.5;6.5;3.9;6.5;2289000;0;143460;17345;0;106950;68546;0;392000;605250;422460;532960
O00170;O00170;9;9;9;AH receptor-interacting protein;AIP;>sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2;1;9;9;9;3;6;1;4;5;3;3;7;3;2;2;3;6;1;4;5;3;3;7;3;2;2;3;6;1;4;5;3;3;7;3;2;2;34.8;34.8;34.8;37636;330;330;1;40;0;48.86;14.5;23.3;4.2;16.1;18.8;13;10.9;28.5;10.9;7;7.9;38236000;4926000;4822200;570310;8741600;2500800;2275800;1772400;7116000;895150;2332900;2282900
O00175;O00175;1;1;1;C-C motif chemokine 24;CCL24;>sp|O00175|CCL24_HUMAN C-C motif chemokine 24 OS=Homo sapiens GN=CCL24 PE=1 SV=2;1;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;7.6;7.6;7.6;13133;119;119;1;7;0.0097345;1694;0;0;0;7.6;7.6;7.6;0;0;0;0;7.6;2507000;0;0;0;979150;64891;801390;0;0;0;0;661620
O00178;O00178;6;6;6;GTP-binding protein 1;GTPBP1;>sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens GN=GTPBP1 PE=1 SV=3;1;6;6;6;1;1;0;2;2;1;2;2;4;1;2;1;1;0;2;2;1;2;2;4;1;2;1;1;0;2;2;1;2;2;4;1;2;11.8;11.8;11.8;72453;669;669;1;20;0;20152;1.3;2.4;0;5.1;3.9;2.4;4.5;4.2;7.8;2.4;3.9;12317000;196610;738610;0;2767600;382100;742750;1186400;527810;906780;4240500;627570
O00180;O00180;1;1;1;Potassium channel subfamily K member 1;KCNK1;>sp|O00180|KCNK1_HUMAN Potassium channel subfamily K member 1 OS=Homo sapiens GN=KCNK1 PE=1 SV=1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;5.7;5.7;5.7;38143;336;336;1;3;0.00081284;3.4837;5.7;0;0;0;0;0;0;5.7;5.7;0;0;880450;206380;0;0;0;0;0;0;102230;571840;0;0
"O00182;Q6DKI2;Q3B8N2";"O00182;Q6DKI2;Q3B8N2";"5;4;4";"5;4;4";"5;4;4";"Galectin-9;Galectin-9C;Galectin-9B";"LGALS9;LGALS9C;LGALS9B";">sp|O00182|LEG9_HUMAN Galectin-9 OS=Homo sapiens GN=LGALS9 PE=1 SV=2;>sp|Q6DKI2|LEG9C_HUMAN Galectin-9C OS=Homo sapiens GN=LGALS9C PE=1 SV=2;>sp|Q3B8N2|LEG9B_HUMAN Galectin-9B OS=Homo sapiens GN=LGALS9B PE=1 SV=3";3;5;5;5;2;5;4;5;5;5;5;5;3;3;5;2;5;4;5;5;5;5;5;3;3;5;2;5;4;5;5;5;5;5;3;3;5;17.2;17.2;17.2;39518;355;"355;356;356";1;69;0;91496;7.6;17.2;13.2;17.2;17.2;17.2;17.2;17.2;9.9;9.9;17.2;132990000;1904200;25949000;1805500;30612000;4003300;8152900;13836000;21608000;1389300;4910400;18816000
O00186;O00186;12;12;12;Syntaxin-binding protein 3;STXBP3;>sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens GN=STXBP3 PE=1 SV=2;1;12;12;12;5;6;1;3;5;1;4;6;7;3;3;5;6;1;3;5;1;4;6;7;3;3;5;6;1;3;5;1;4;6;7;3;3;24.5;24.5;24.5;67764;592;592;1;49;0;28.86;10;10;1.5;5.1;9.3;1.5;8.3;10;15.2;5.4;4.9;19997000;2255700;3699200;44297;2242900;1204000;138890;1227400;3985100;1208100;2543500;1447500
O00187;O00187;1;1;1;"Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain";MASP2;>sp|O00187|MASP2_HUMAN Mannan-binding lectin serine protease 2 OS=Homo sapiens GN=MASP2 PE=1 SV=4;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2.2;2.2;2.2;75702;686;686;1;2;0;16047;0;0;0;0;0;2.2;0;0;0;0;0;678610;0;0;0;0;0;678610;0;0;0;0;0
O00192;O00192;2;2;2;Armadillo repeat protein deleted in velo-cardio-facial syndrome;ARVCF;>sp|O00192|ARVC_HUMAN Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens GN=ARVCF PE=1 SV=1;1;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2.5;2.5;2.5;104.64;962;962;1;2;0.0047454;2.1575;0;0;0;2.5;0;0;0;0;0;0;0;40326;0;0;0;40326;0;0;0;0;0;0;0
O00193;O00193;3;3;3;Small acidic protein;SMAP;>sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1;1;3;3;3;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;16.4;16.4;16.4;20332;183;183;1;3;0.0002124;4.1541;0;12.6;0;8.7;0;0;0;3.8;0;0;0;1462300;0;876970;0;216960;0;0;0;368370;0;0;0
O00194;O00194;7;7;5;Ras-related protein Rab-27B;RAB27B;>sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens GN=RAB27B PE=1 SV=4;1;7;7;5;2;6;2;2;5;1;3;4;4;1;6;2;6;2;2;5;1;3;4;4;1;6;1;4;1;0;3;0;1;2;2;0;4;37.6;37.6;29.4;24608;218;218;1;42;0;17729;9.6;29.4;9.6;8.3;26.1;4.6;13.3;18.3;18.3;4.6;31.2;25246000;1352100;4640700;395190;2385200;1401400;182270;3052000;3621900;2217400;855900;5141800
"O00203;Q13367";O00203;"22;4";"22;4";"22;4";AP-3 complex subunit beta-1;AP3B1;>sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3;2;22;22;22;8;14;4;8;12;8;9;14;11;10;10;8;14;4;8;12;8;9;14;11;10;10;8;14;4;8;12;8;9;14;11;10;10;23;23;23;121.32;1094;"1094;1082";1;160;0;101.53;10.4;15.2;4.4;10.4;12.9;9.7;10.4;14.8;12.9;12.3;11.6;170000000;7860400;20931000;551050;19870000;28690000;5379400;6525900;19947000;5701400;33891000;20657000
O00214;O00214;1;1;1;Galectin-8;LGALS8;>sp|O00214|LEG8_HUMAN Galectin-8 OS=Homo sapiens GN=LGALS8 PE=1 SV=4;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.1;4.1;4.1;35808;317;317;1;1;0;6.4651;4.1;0;0;0;0;0;0;0;0;0;0;418640;418640;0;0;0;0;0;0;0;0;0;0
O00217;O00217;6;6;6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NDUFS8;>sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1;1;6;6;6;4;5;2;5;1;1;4;4;4;2;2;4;5;2;5;1;1;4;4;4;2;2;4;5;2;5;1;1;4;4;4;2;2;32.4;32.4;32.4;23705;210;210;1;51;0;25523;23.8;26.7;9.5;29;4.3;8.6;23.3;23.3;23.3;9.5;9.5;82725000;7558400;10681000;597600;10414000;633620;1603400;7696800;21216000;9301900;3637600;9384900
O00231;O00231;24;24;24;26S proteasome non-ATPase regulatory subunit 11;PSMD11;>sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3;1;24;24;24;14;16;11;18;13;10;10;18;15;12;13;14;16;11;18;13;10;10;18;15;12;13;14;16;11;18;13;10;10;18;15;12;13;61.4;61.4;61.4;47463;422;422;1;227;0;159.61;38.6;46;31;49.8;33.9;26.8;24.6;48.8;44.1;31;35.3;436230000;55302000;59025000;5332400;107940000;12448000;15212000;18146000;60840000;15109000;34846000;52032000
O00232;O00232;22;22;22;26S proteasome non-ATPase regulatory subunit 12;PSMD12;>sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3;1;22;22;22;13;13;3;9;9;5;10;14;8;9;7;13;13;3;9;9;5;10;14;8;9;7;13;13;3;9;9;5;10;14;8;9;7;51.3;51.3;51.3;52904;456;456;1;125;0;286.66;37.5;32.7;7;21.7;23.2;16.9;28.3;31.4;20;23.5;17.3;139870000;18866000;22247000;2056500;34465000;3802700;6297200;7908600;15220000;2685800;18994000;7328900
O00233;O00233;9;9;9;26S proteasome non-ATPase regulatory subunit 9;PSMD9;>sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3;1;9;9;9;6;7;2;6;5;6;5;7;6;4;4;6;7;2;6;5;6;5;7;6;4;4;6;7;2;6;5;6;5;7;6;4;4;41.3;41.3;41.3;24682;223;223;1;77;0;30766;23.8;35.9;9.9;24.2;24.2;30.9;26.5;29.6;31.4;18.8;19.3;53862000;3722900;9245700;267730;9774400;2194300;1367900;2161100;10459000;2433300;3640800;8594300
O00244;O00244;4;4;4;Copper transport protein ATOX1;ATOX1;>sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=1 SV=1;1;4;4;4;1;3;2;2;1;2;1;4;2;1;1;1;3;2;2;1;2;1;4;2;1;1;1;3;2;2;1;2;1;4;2;1;1;39.7;39.7;39.7;7.4016;68;68;1;26;0;8.2693;13.2;39.7;38.2;39.7;13.2;39.7;26.5;39.7;39.7;13.2;13.2;29928000;671880;8572400;331190;2771400;1618400;537800;797490;8902800;1249500;1496400;2978800
O00258;O00258;1;1;1;Tail-anchored protein insertion receptor WRB;WRB;>sp|O00258|WRB_HUMAN Tail-anchored protein insertion receptor WRB OS=Homo sapiens GN=WRB PE=1 SV=2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6.9;6.9;6.9;19779;174;174;1;1;1;-2;6.9;0;0;0;0;0;0;0;0;0;0;145540;145540;0;0;0;0;0;0;0;0;0;0
O00264;O00264;11;11;10;Membrane-associated progesterone receptor component 1;PGRMC1;>sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3;1;11;11;10;6;6;4;5;7;7;4;5;7;2;4;6;6;4;5;7;7;4;5;7;2;4;5;5;3;4;6;7;4;4;6;2;3;45.6;45.6;41;21671;195;195;1;84;0;43.03;28.2;21;16.9;16.9;31.3;36.4;15.9;20.5;32.8;7.7;16.9;150930000;18040000;21707000;1033400;23052000;11077000;6689300;9793400;27923000;10638000;10140000;10838000
O00267;O00267;16;16;16;Transcription elongation factor SPT5;SUPT5H;>sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens GN=SUPT5H PE=1 SV=1;1;16;16;16;8;7;0;5;1;1;3;5;4;7;5;8;7;0;5;1;1;3;5;4;7;5;8;7;0;5;1;1;3;5;4;7;5;21.2;21.2;21.2;121;1087;1087;1;49;0;89221;10.7;11.1;0;8.2;1.6;2.1;4.6;8.8;5.9;10.2;7.9;29216000;4574000;3072600;0;6207100;51272;216240;600580;3846900;781910;6558700;3307200
O00268;O00268;1;1;1;Transcription initiation factor TFIID subunit 4;TAF4;>sp|O00268|TAF4_HUMAN Transcription initiation factor TFIID subunit 4 OS=Homo sapiens GN=TAF4 PE=1 SV=2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.8;1.8;1.8;110.11;1085;1085;1;1;0.0015595;3.0436;1.8;0;0;0;0;0;0;0;0;0;0;234880;234880;0;0;0;0;0;0;0;0;0;0
O00273;O00273;10;10;10;DNA fragmentation factor subunit alpha;DFFA;>sp|O00273|DFFA_HUMAN DNA fragmentation factor subunit alpha OS=Homo sapiens GN=DFFA PE=1 SV=1;1;10;10;10;3;3;2;5;3;4;2;4;4;3;5;3;3;2;5;3;4;2;4;4;3;5;3;3;2;5;3;4;2;4;4;3;5;38.7;38.7;38.7;36521;331;331;1;43;0;36601;14.8;14.2;6.3;20.2;14.2;19;9.4;16.9;17.8;13.6;20.5;34601000;1220000;3258400;549630;7933000;1933400;1418100;1253400;6628600;2544400;2436200;5426000
O00291;O00291;6;5;4;Huntingtin-interacting protein 1;HIP1;>sp|O00291|HIP1_HUMAN Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5;1;6;5;4;0;1;1;2;2;0;0;0;2;0;1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;2;1;0;0;0;2;0;0;6.9;6;4.3;116.22;1037;1037;1;5;0.00021308;4.2104;0;1;1;2.5;2.1;0;0;0;1.8;0;1;2310100;0;0;0;1226100;9488;0;0;0;1074400;0;0
O00299;O00299;19;19;19;Chloride intracellular channel protein 1;CLIC1;>sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4;1;19;19;19;14;16;13;13;13;15;14;17;10;13;12;14;16;13;13;13;15;14;17;10;13;12;14;16;13;13;13;15;14;17;10;13;12;85.1;85.1;85.1;26922;241;241;1;487;0;274.53;68;68.9;57.3;68;68;66.8;73.4;78;56;68;58.9;2206300000;172290000;260220000;49453000;318720000;52168000;152130000;121230000;491520000;113440000;314340000;160810000
O00303;O00303;13;13;13;Eukaryotic translation initiation factor 3 subunit F;EIF3F;>sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1;1;13;13;13;9;11;4;8;9;7;7;9;6;5;10;9;11;4;8;9;7;7;9;6;5;10;9;11;4;8;9;7;7;9;6;5;10;41.2;41.2;41.2;37563;357;357;1;127;0;79477;30.8;36.1;14.6;29.7;30.5;25.8;24.1;29.4;23.8;19.6;35.9;166060000;18076000;16535000;3676900;24823000;5681500;5583400;6840900;34934000;7636800;19802000;22473000
O00330;O00330;8;8;8;Pyruvate dehydrogenase protein X component, mitochondrial;PDHX;>sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens GN=PDHX PE=1 SV=3;1;8;8;8;4;1;0;3;1;1;1;1;4;2;2;4;1;0;3;1;1;1;1;4;2;2;4;1;0;3;1;1;1;1;4;2;2;24.2;24.2;24.2;54122;501;501;1;20;0;29559;14.6;3.4;0;8.8;3.8;3.8;6;6;12;9.8;6.6;14708000;2829700;255900;0;2471700;338840;250000;874330;985530;1422400;4134800;1144900
O00338;O00338;2;2;2;Sulfotransferase 1C2;SULT1C2;>sp|O00338|ST1C2_HUMAN Sulfotransferase 1C2 OS=Homo sapiens GN=SULT1C2 PE=1 SV=1;1;2;2;2;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;7.1;7.1;7.1;34.88;296;296;1;3;0;9.5105;0;4.1;0;0;0;0;0;0;4.1;0;3;1226100;0;225910;0;0;0;0;0;0;152710;0;847490
O00339;O00339;7;7;7;Matrilin-2;MATN2;>sp|O00339|MATN2_HUMAN Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4;1;7;7;7;0;0;0;3;2;0;2;0;0;3;1;0;0;0;3;2;0;2;0;0;3;1;0;0;0;3;2;0;2;0;0;3;1;10.3;10.3;10.3;106.84;956;956;1;11;0;18101;0;0;0;4.6;2.2;0;3.9;0;0;4.2;1.2;12052000;0;0;0;3282600;746470;0;1458000;0;0;5518100;1047100
